TypeHouse;Address;Floors;Area;Frontage;Bedrooms;Bathrooms;YearBuilt;Legal_Status;Road_Type;Price;Gia_trung_binh
Apartment;Nguyễn Huệ, Q.1, TP.HCM;0;85;20;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;63.75;750
Apartment;Nguyễn Huệ, Q.1, TP.HCM;0;75;18;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;58.5;750
Apartment;Nguyễn Huệ, Q.1, TP.HCM;0;65;16;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;54.0;750
Apartment;Lê Lợi, Q.1, TP.HCM;0;90;22;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;61.5;750
Apartment;Lê Lợi, Q.1, TP.HCM;0;80;20;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;56.25;750
Apartment;Đồng Khởi, Q.1, TP.HCM;0;70;18;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;51.0;750
Apartment;Võ Văn Tần, Q.3, TP.HCM;0;82;19;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;46.8;650
Apartment;Võ Văn Tần, Q.3, TP.HCM;0;72;17;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;42.25;650
Apartment;Nguyễn Thị Minh Khai, Q.3, TP.HCM;0;68;16;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;37.7;650
Apartment;Trần Hưng Đạo, Q.5, TP.HCM;0;78;18;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;35.36;520
Apartment;Trần Hưng Đạo, Q.5, TP.HCM;0;68;16;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;32.24;520
Apartment;Nguyễn Trãi, Q.5, TP.HCM;0;62;15;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;28.6;520
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;75;18;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;27.84;480
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;65;16;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;24.96;480
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;58;14;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;21.6;480
Apartment;Phạm Văn Đồng, Q.Thủ Đức, TP.HCM;0;80;19;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;23.1;420
Apartment;Phạm Văn Đồng, Q.Thủ Đức, TP.HCM;0;70;17;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;20.16;420
Apartment;Phạm Văn Đồng, Q.Thủ Đức, TP.HCM;0;62;15;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;17.64;420
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;78;18;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;23.4;450
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;68;16;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;21.6;450
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;60;14;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;18.9;450
Apartment;Phạm Văn Đồng, Ba Đình, Hà Nội;0;82;20;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;37.4;550
Apartment;Phạm Văn Đồng, Ba Đình, Hà Nội;0;72;18;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;34.1;550
Apartment;Phạm Văn Đồng, Ba Đình, Hà Nội;0;65;16;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;30.25;550
Apartment;Đường Láng, Đống Đa, Hà Nội;0;75;18;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;27.84;480
Apartment;Đường Láng, Đống Đa, Hà Nội;0;65;16;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;24.96;480
Apartment;Đường Láng, Đống Đa, Hà Nội;0;58;14;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;21.6;480
Apartment;Lạc Long Quân, Tây Hồ, Hà Nội;0;80;19;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;23.1;420
Apartment;Lạc Long Quân, Tây Hồ, Hà Nội;0;70;17;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;20.16;420
Apartment;Lạc Long Quân, Tây Hồ, Hà Nội;0;62;15;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;17.64;420
Apartment;Nguyễn Văn Linh, Hải Châu, Đà Nẵng;0;76;18;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;5.29;126
Apartment;Nguyễn Văn Linh, Hải Châu, Đà Nẵng;0;66;16;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.79;126
Apartment;Nguyễn Văn Linh, Hải Châu, Đà Nẵng;0;58;14;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;4.03;126
Apartment;Trần Phú, Thanh Khê, Đà Nẵng;0;72;17;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.61;95
Apartment;Trần Phú, Thanh Khê, Đà Nẵng;0;62;15;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.04;95
Apartment;Trần Phú, Thanh Khê, Đà Nẵng;0;55;13;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.66;95
Apartment;Lê Hồng Phong, Ngô Quyền, Hải Phòng;0;74;17;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.4;75
Apartment;Lê Hồng Phong, Ngô Quyền, Hải Phòng;0;64;15;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.1;75
Apartment;Lê Hồng Phong, Ngô Quyền, Hải Phòng;0;56;13;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.8;75
Apartment;Đại lộ Bình Dương, Thủ Dầu Một, Bình Dương;6;90;20;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.08;85
Apartment;Đại lộ Bình Dương, Thủ Dầu Một, Bình Dương;5;75;17;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.57;85
Apartment;Đại lộ Bình Dương, Thủ Dầu Một, Bình Dương;4;60;14;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;3.23;85
Apartment;Phạm Văn Đồng, Biên Hòa, Đồng Nai;6;85;19;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.42;85
Apartment;Phạm Văn Đồng, Biên Hòa, Đồng Nai;5;70;16;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.08;85
Apartment;Phạm Văn Đồng, Biên Hòa, Đồng Nai;4;55;13;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;3.57;85
Apartment;Nguyễn Tất Thành, Vũng Tàu, BR-VT;7;95;21;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.93;85
Apartment;Nguyễn Tất Thành, Vũng Tàu, BR-VT;6;80;18;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.42;85
Apartment;Nguyễn Tất Thành, Vũng Tàu, BR-VT;5;65;15;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;4.08;85
Apartment;Trần Hưng Đạo, Huế, Thừa Thiên Huế;5;80;18;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.6;75
Apartment;Trần Hưng Đạo, Huế, Thừa Thiên Huế;4;65;15;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.15;75
Apartment;Trần Hưng Đạo, Huế, Thừa Thiên Huế;3;50;12;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.85;75
Apartment;Nguyễn Huệ, Nha Trang, Khánh Hòa;6;85;19;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.42;85
Apartment;Nguyễn Huệ, Nha Trang, Khánh Hòa;5;70;16;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.08;85
Apartment;Nguyễn Huệ, Nha Trang, Khánh Hòa;4;55;13;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;3.57;85
Apartment;Trần Phú, Đà Lạt, Lâm Đồng;6;90;20;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.6;75
Apartment;Trần Phú, Đà Lạt, Lâm Đồng;5;75;17;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.15;75
Apartment;Trần Phú, Đà Lạt, Lâm Đồng;4;60;14;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.85;75
Apartment;Lê Lợi, Buôn Ma Thuột, Đắk Lắk;5;75;17;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.6;62
Apartment;Lê Lợi, Buôn Ma Thuột, Đắk Lắk;4;60;14;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.36;62
Apartment;Lê Lợi, Buôn Ma Thuột, Đắk Lắk;3;45;11;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.98;62
Apartment;Nguyễn Tất Thành, Pleiku, Gia Lai;5;70;16;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.2;58
Apartment;Nguyễn Tất Thành, Pleiku, Gia Lai;4;55;13;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.86;58
Apartment;Nguyễn Tất Thành, Pleiku, Gia Lai;3;40;10;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.62;58
Apartment;Trần Hưng Đạo, Kon Tum, Kon Tum;4;65;15;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.66;52
Apartment;Trần Hưng Đạo, Kon Tum, Kon Tum;3;50;12;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.46;52
Apartment;Trần Hưng Đạo, Kon Tum, Kon Tum;2;35;9;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.25;52
Apartment;Lê Duẩn, Quy Nhơn, Bình Định;5;80;18;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.73;65
Apartment;Lê Duẩn, Quy Nhơn, Bình Định;4;65;15;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.47;65
Apartment;Lê Duẩn, Quy Nhơn, Bình Định;3;50;12;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.08;65
Apartment;Nguyễn Huệ, Tuy Hòa, Phú Yên;5;70;16;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.36;62
Apartment;Nguyễn Huệ, Tuy Hòa, Phú Yên;4;55;13;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.98;62
Apartment;Nguyễn Huệ, Tuy Hòa, Phú Yên;3;40;10;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.74;62
Apartment;Trần Phú, Phan Thiết, Bình Thuận;5;75;17;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.73;65
Apartment;Trần Phú, Phan Thiết, Bình Thuận;4;60;14;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.47;65
Apartment;Trần Phú, Phan Thiết, Bình Thuận;3;45;11;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.08;65
Apartment;Lê Lợi, Phan Rang, Ninh Thuận;4;65;15;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.2;58
Apartment;Lê Lợi, Phan Rang, Ninh Thuận;3;50;12;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.86;58
Apartment;Lê Lợi, Phan Rang, Ninh Thuận;2;35;9;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.62;58
Apartment;Nguyễn Tất Thành, Đồng Hới, Quảng Bình;4;60;14;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.86;58
Apartment;Nguyễn Tất Thành, Đồng Hới, Quảng Bình;3;45;11;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.62;58
Apartment;Nguyễn Tất Thành, Đồng Hới, Quảng Bình;2;30;8;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.39;58
Apartment;Trần Hưng Đạo, Đông Hà, Quảng Trị;3;55;13;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.46;52
Apartment;Trần Hưng Đạo, Đông Hà, Quảng Trị;2;40;10;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.25;52
Apartment;Trần Hưng Đạo, Đông Hà, Quảng Trị;1;25;7;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.04;52
Apartment;Lê Duẩn, Hội An, Quảng Nam;5;75;17;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.57;85
Apartment;Lê Duẩn, Hội An, Quảng Nam;4;60;14;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.23;85
Apartment;Lê Duẩn, Hội An, Quảng Nam;3;45;11;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.72;85
Apartment;Nguyễn Huệ, Tam Kỳ, Quảng Nam;4;65;15;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.47;65
Apartment;Nguyễn Huệ, Tam Kỳ, Quảng Nam;3;50;12;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.08;65
Apartment;Nguyễn Huệ, Tam Kỳ, Quảng Nam;2;35;9;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.82;65
Apartment;Trần Phú, Bắc Ninh, Bắc Ninh;5;75;17;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.99;95
Apartment;Trần Phú, Bắc Ninh, Bắc Ninh;4;60;14;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.61;95
Apartment;Trần Phú, Bắc Ninh, Bắc Ninh;3;45;11;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;3.04;95
Apartment;Lê Lợi, Hải Phòng, Hải Phòng;5;80;18;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.57;85
Apartment;Lê Lợi, Hải Phòng, Hải Phòng;4;65;15;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.23;85
Apartment;Lê Lợi, Hải Phòng, Hải Phòng;3;50;12;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.72;85
Apartment;Nguyễn Tất Thành, Hưng Yên, Hưng Yên;4;65;15;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.66;70
Apartment;Nguyễn Tất Thành, Hưng Yên, Hưng Yên;3;50;12;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.24;70
Apartment;Nguyễn Tất Thành, Hưng Yên, Hưng Yên;2;35;9;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.96;70
Apartment;Trần Hưng Đạo, Bắc Giang, Bắc Giang;3;55;13;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.12;35
Apartment;Trần Hưng Đạo, Bắc Giang, Bắc Giang;2;40;10;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;0.98;35
Apartment;Trần Hưng Đạo, Bắc Giang, Bắc Giang;1;25;7;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;0.84;35
Apartment;Trần Phú, Thái Nguyên, Thái Nguyên;0;65;15;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.2;100
Apartment;Trần Phú, Thái Nguyên, Thái Nguyên;0;55;13;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.8;100
Apartment;Trần Phú, Thái Nguyên, Thái Nguyên;0;45;11;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.5;100
Townhouse;Trần Phú, Thái Nguyên, Thái Nguyên;4;70;16;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.2;100
Townhouse;Trần Phú, Thái Nguyên, Thái Nguyên;3;55;13;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.8;100
Townhouse;Trần Phú, Thái Nguyên, Thái Nguyên;2;40;10;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.4;100
Villa;Trần Phú, Thái Nguyên, Thái Nguyên;5;80;18;4;4;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;4.2;100
Villa;Trần Phú, Thái Nguyên, Thái Nguyên;4;65;15;4;4;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.8;100
Villa;Trần Phú, Thái Nguyên, Thái Nguyên;3;50;12;4;4;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;3.2;100
Nha cap 4;Trần Phú, Thái Nguyên, Thái Nguyên;3;45;8;1;1;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.4;100
Nha cap 4;Trần Phú, Thái Nguyên, Thái Nguyên;2;35;6;1;1;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.0;100
Nha cap 4;Trần Phú, Thái Nguyên, Thái Nguyên;1;25;4;1;1;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.8;100
Apartment;Lê Lợi, Việt Trì, Phú Thọ;0;62;14;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.8;100
Apartment;Lê Lợi, Việt Trì, Phú Thọ;0;52;12;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.5;100
Apartment;Lê Lợi, Việt Trì, Phú Thọ;0;42;10;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.2;100
Townhouse;Lê Lợi, Việt Trì, Phú Thọ;3;60;14;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.8;100
Townhouse;Lê Lợi, Việt Trì, Phú Thọ;2;45;11;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.4;100
Townhouse;Lê Lợi, Việt Trì, Phú Thọ;1;30;8;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.0;100
Villa;Lê Lợi, Việt Trì, Phú Thọ;4;70;16;4;4;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.8;100
Villa;Lê Lợi, Việt Trì, Phú Thọ;3;55;13;4;4;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.2;100
Villa;Lê Lợi, Việt Trì, Phú Thọ;2;40;10;4;4;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.8;100
Nha cap 4;Lê Lợi, Việt Trì, Phú Thọ;2;35;6;1;1;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.2;100
Nha cap 4;Lê Lợi, Việt Trì, Phú Thọ;1;25;4;1;1;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.8;100
Nha cap 4;Lê Lợi, Việt Trì, Phú Thọ;0;15;2;1;1;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.6;100
Apartment;Nguyễn Huệ, Lào Cai, Lào Cai;0;60;14;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.6;100
Apartment;Nguyễn Huệ, Lào Cai, Lào Cai;0;50;12;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.3;100
Apartment;Nguyễn Huệ, Lào Cai, Lào Cai;0;40;10;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.0;100
Townhouse;Nguyễn Huệ, Lào Cai, Lào Cai;3;55;13;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.4;100
Townhouse;Nguyễn Huệ, Lào Cai, Lào Cai;2;40;10;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.0;100
Townhouse;Nguyễn Huệ, Lào Cai, Lào Cai;1;25;7;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.6;100
Villa;Nguyễn Huệ, Lào Cai, Lào Cai;4;65;15;4;4;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.2;100
Villa;Nguyễn Huệ, Lào Cai, Lào Cai;3;50;12;4;4;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.8;100
Villa;Nguyễn Huệ, Lào Cai, Lào Cai;2;35;9;4;4;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.4;100
Nha cap 4;Nguyễn Huệ, Lào Cai, Lào Cai;2;30;5;1;1;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.8;100
Nha cap 4;Nguyễn Huệ, Lào Cai, Lào Cai;1;20;3;1;1;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.4;100
Nha cap 4;Nguyễn Huệ, Lào Cai, Lào Cai;0;10;1;1;1;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.2;100
Apartment;Trần Hưng Đạo, Yên Bái, Yên Bái;0;58;13;2;2;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.4;100
Apartment;Trần Hưng Đạo, Yên Bái, Yên Bái;0;48;11;2;2;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.2;100
Apartment;Trần Hưng Đạo, Yên Bái, Yên Bái;0;38;9;2;2;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.0;100
Townhouse;Trần Hưng Đạo, Yên Bái, Yên Bái;2;50;12;3;3;2023;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.2;100
Townhouse;Trần Hưng Đạo, Yên Bái, Yên Bái;1;35;9;3;3;2022;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.8;100
Townhouse;Trần Hưng Đạo, Yên Bái, Yên Bái;0;20;6;3;3;2021;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.4;100
